"","row","date","state","fluP","temp","ah","o3","pm2.5"
"67","67",2016-05-09,"Anhui",-0.0857867542758566,1.04554519774702,1.19928074810976,0.666443210370339,-0.601543729894155
"68","68",2016-05-16,"Anhui",-0.179762596185518,1.16563809413243,1.08067972888054,1.39580246005806,-0.908409299574307
"69","69",2016-05-23,"Anhui",-0.255972220568339,1.32821007136845,1.7517651892294,0.539018260732941,-0.975050712943871
"70","70",2016-05-30,"Anhui",-0.317489782304598,1.480224684761,2.13631679516469,0.446218500390581,-1.00369313462672
"71","71",2016-07-01,"Anhui",999,999,999,999,999
"72","72",2016-10-03,"Anhui",-0.624606686633179,1.29404541926752,1.55325804265733,0.400635268768712,-1.00816607947516
"73","73",2016-10-10,"Anhui",-0.864747011153395,0.807351545216402,1.09086419250857,-0.712416152241411,-0.946039639714529
"74","74",2016-10-17,"Anhui",-0.185947425423928,1.03034361382131,1.67935120006603,-0.567347092133663,-0.947119457023174
"75","75",2016-10-24,"Anhui",0.325076019872062,0.257681319415084,0.608302230672915,-0.785869644245127,-1.51699810484016
"76","76",2016-10-31,"Anhui",0.370979432573491,0.176338440126822,0.242857253631198,-0.0240780067943744,-0.328549736249346
"77","77",2016-11-07,"Anhui",0.539846138550569,0.00985171454093872,0.00980775478847164,-0.374979128201943,-0.0794035631077937
"78","78",2016-11-14,"Anhui",0.600652103299291,0.472042044266011,0.688913826326124,-0.93367111317249,0.0453303677431239
"79","79",2016-11-21,"Anhui",0.782765931492547,-1.0604981147386,-0.784066698730155,-0.786707113051868,-0.285274287605886
"80","80",2016-11-28,"Anhui",0.811244322888561,-0.451469931253436,-0.49802658648116,-0.350344829169734,1.24486177228807
"81","81",2016-12-05,"Anhui",0.678028191169389,-0.512105443084344,-0.627091308572334,-0.375756115212981,1.47228362327118
"82","82",2016-12-12,"Anhui",0.726593695788474,-0.910249221846924,-0.757114724298703,-0.855458334225794,1.03076771801875
"83","83",2016-12-19,"Anhui",0.825718390742335,-0.628749828577213,-0.477769108388462,-0.884912182679797,1.42823928225251
"84","84",2016-12-26,"Anhui",0.691457966813947,-1.1816581628914,-0.922035180503056,-0.735346017098706,1.65258662021608
"85","85",2017-01-02,"Anhui",0.749278595544663,-0.638904942919764,-0.344166489699258,-0.873252031459259,1.99574873933209
"86","86",2017-01-09,"Anhui",0.395018510604216,-1.14783943321228,-0.980837424188665,-0.534449793316915,1.46146349107494
"87","87",2017-01-16,"Anhui",0.430258745517517,-1.24838930137228,-1.18407960540835,-0.687364549647518,0.309070328943986
"88","88",2017-01-23,"Anhui",0.491208926096067,-0.875691704605011,-0.93660397095942,-0.220032885577621,1.16542602224984
"89","89",2017-01-30,"Anhui",0.535217759800208,-1.21874319598339,-0.979397442309922,-0.358887376504538,0.417196851664789
"90","90",2017-02-06,"Anhui",0.477278036090608,-1.2691779477796,-1.13366149963979,0.119678670627768,1.13553971304406
"91","91",2017-02-13,"Anhui",0.426303962525326,-0.213943565543097,-0.633128641054399,0.47557414249417,1.07332949697183
"92","92",2017-02-20,"Anhui",0.694884584288651,-0.868181745566763,-0.912978354349484,0.260053371203386,0.696876182545719
"93","93",2017-02-27,"Anhui",0.699343477813925,-0.305586328732156,-0.765573466200686,0.586709811035215,0.432416846456051
"94","94",2017-03-06,"Anhui",0.591093960648004,-0.128001724535044,-0.651909040896929,0.752453027360267,0.633353908108409
"95","95",2017-03-13,"Anhui",0.781642106666408,-0.296822461831275,-0.63013411339521,0.694772777308466,-0.316671268771583
"96","96",2017-03-20,"Anhui",0.591937437574193,-0.33539150857821,-0.307091884984025,0.372512951626931,-0.435232277257567
"97","97",2017-03-27,"Anhui",0.492823883272013,0.224358421828248,-0.0744019598572329,1.08313667134814,0.379797761470229
"98","98",2017-04-03,"Anhui",0.530075084732798,0.704432554585347,0.773272678797406,0.67796025663043,0.212068838790177
"99","99",2017-04-10,"Anhui",0.281797909569186,0.730001571558481,0.61880871836983,1.22246119849765,-0.62928291228483
"100","100",2017-04-17,"Anhui",0.127119058318728,1.07314786064648,0.564156819907382,1.29458660266116,-1.06792966632411
"101","101",2017-04-24,"Anhui",0.232557682496189,1.15505379167409,0.511149117469941,1.91896050056788,-0.763566762166351
"102","102",2017-05-01,"Anhui",-0.00174279496214389,1.23151138171703,1.35316673350506,1.23077989453227,0.336888452246191
"103","103",2017-05-08,"Anhui",-0.456852368114053,1.48939481387592,1.67741628365635,1.66502290841711,-1.03333378834864
"104","104",2017-05-15,"Anhui",-0.42642872680121,1.67400893735807,1.5347967109112,2.535181239762,-0.580690351223226
"105","105",2017-05-22,"Anhui",-0.568114750416607,1.78700286370359,1.6244817700315,2.779483251864,-0.92053203544756
"106","106",2017-05-29,"Anhui",-2.08881267900636,2.2221484117456,2.09658757320155,3.22709139949181,-0.409456609862727
"107","107",2017-07-01,"Anhui",999,999,999,999,999
"108","108",2017-10-02,"Anhui",0.24197853008258,0.97251116149939,1.44326906364893,0.248047828546173,-1.59116468224936
"109","109",2017-10-09,"Anhui",0.0355133614156012,0.742072373965855,1.08319659811768,0.227558864711568,-1.42793297607221
"110","110",2017-10-16,"Anhui",-0.0859724026533193,0.565304642745617,0.716122653079546,0.779793157206904,-0.267113930359161
"111","111",2017-10-23,"Anhui",-0.0279196587058474,0.51055734464055,0.302040571046595,1.13874810287825,0.141206734154808
"112","112",2017-10-30,"Anhui",-0.0362356022783117,0.190957649232653,-0.261542793487026,0.596655539332058,-0.143613541976941
"113","113",2017-11-06,"Anhui",0.0966505741978349,0.382109753439419,-0.0683912009266999,0.297353268401579,0.188461308823509
"114","114",2017-11-13,"Anhui",0.147805212678326,-0.0521616106882263,-0.151953354922138,-0.565707789345753,0.551505100516038
"115","115",2017-11-20,"Anhui",0.419448175535194,-0.450892201673759,-0.851920432183503,-0.285142399720005,-0.0852613875573406
"116","116",2017-11-27,"Anhui",0.611742867344038,-0.48942324698925,-0.517311637748102,-0.448380020737693,0.598986450047969
"117","117",2017-12-04,"Anhui",0.783807325788066,-0.97923044585358,-1.10195403045752,-0.514850858524334,1.67403955099431
"118","118",2017-12-11,"Anhui",0.802138108214216,-1.15604762857266,-1.06254181448517,-0.843365463856749,-0.170456386358976
